,Name,Race,Year,Time
0,Nekagenet CRIPPA,1500 Metres,2012,0 days 00:04:06.100000
1,Nekagenet CRIPPA,1500 Metres,2014,0 days 00:04:00.070000
2,Nekagenet CRIPPA,1500 Metres,2018,0 days 00:04:03.790000
3,Nekagenet CRIPPA,5000 Metres,2012,0 days 00:15:19.640000
4,Nekagenet CRIPPA,5000 Metres,2013,0 days 00:14:57.420000
5,Nekagenet CRIPPA,5000 Metres,2015,0 days 00:15:00.590000
6,Nekagenet CRIPPA,5000 Metres,2017,0 days 00:14:45.290000
7,Nekagenet CRIPPA,5000 Metres,2018,0 days 00:14:17.810000
8,Nekagenet CRIPPA,5000 Metres,2019,0 days 00:14:00.870000
9,Nekagenet CRIPPA,"10,000 Metres",2014,0 days 00:30:37.130000
10,Nekagenet CRIPPA,"10,000 Metres",2016,0 days 00:29:56.230000
11,Nekagenet CRIPPA,"10,000 Metres",2019,0 days 00:29:24.470000
12,Nekagenet CRIPPA,"10,000 Metres",2021,0 days 00:27:51.930000
13,Nekagenet CRIPPA,"10,000 Metres",2023,0 days 00:28:16.960000
14,Nekagenet CRIPPA,10 Kilometres Road,2012,0 days 00:32:29
15,Nekagenet CRIPPA,10 Kilometres Road,2013,0 days 00:31:08
16,Nekagenet CRIPPA,10 Kilometres Road,2015,0 days 00:30:09
17,Nekagenet CRIPPA,10 Kilometres Road,2016,0 days 00:30:45
18,Nekagenet CRIPPA,10 Kilometres Road,2017,0 days 00:30:59
19,Nekagenet CRIPPA,10 Kilometres Road,2018,0 days 00:29:59
20,Nekagenet CRIPPA,10 Kilometres Road,2019,0 days 00:29:39
21,Nekagenet CRIPPA,10 Kilometres Road,2021,0 days 00:29:15
22,Nekagenet CRIPPA,10 Kilometres Road,2022,0 days 00:29:23
23,Nekagenet CRIPPA,10 Kilometres Road,2023,0 days 00:28:45
24,Nekagenet CRIPPA,Half Marathon,2013,0 days 01:08:21
25,Nekagenet CRIPPA,Half Marathon,2014,0 days 01:05:31
26,Nekagenet CRIPPA,Half Marathon,2016,0 days 01:06:43
27,Nekagenet CRIPPA,Half Marathon,2017,0 days 01:09:13
28,Nekagenet CRIPPA,Half Marathon,2020,0 days 01:03:23
29,Nekagenet CRIPPA,Half Marathon,2022,0 days 01:02:01
30,Nekagenet CRIPPA,Half Marathon,2023,0 days 01:02:38
31,Nekagenet CRIPPA,Marathon,2016,0 days 02:21:17
32,Nekagenet CRIPPA,Marathon,2023,0 days 02:07:35
33,Nekagenet CRIPPA,Marathon,2024,0 days 02:09:41
34,Derseh KINDIE,Half Marathon,2022,0 days 00:59:18
35,Derseh KINDIE,Marathon,2021,0 days 02:12:11
36,Derseh KINDIE,Marathon,2022,0 days 02:08:23
37,Derseh KINDIE,Marathon,2023,0 days 02:05:51
38,Derseh KINDIE,Marathon,2024,0 days 02:07:22
39,Alex Kipirech KIPCHIRCHIR,1500 Metres,2023,0 days 00:03:45.650000
40,Alex Kipirech KIPCHIRCHIR,1500 Metres,2024,0 days 00:03:44.290000
41,Alex Kipirech KIPCHIRCHIR,5000 Metres,2021,0 days 00:13:51.080000
42,Alex Kipirech KIPCHIRCHIR,5000 Metres,2022,0 days 00:13:25.240000
43,Alex Kipirech KIPCHIRCHIR,5000 Metres,2023,0 days 00:13:28.140000
44,Alex Kipirech KIPCHIRCHIR,5000 Metres,2024,0 days 00:13:31.550000
45,Alex Kipirech KIPCHIRCHIR,"10,000 Metres",2022,0 days 00:28:02.530000
46,Alex Kipirech KIPCHIRCHIR,"10,000 Metres",2023,0 days 00:28:37.630000
47,Luis Miguel MASABANDA,5000 Metres,2021,0 days 00:14:34.260000
48,Luis Miguel MASABANDA,5000 Metres,2022,0 days 00:14:18.490000
49,Luis Miguel MASABANDA,5000 Metres,2024,0 days 00:14:13.930000
50,Luis Miguel MASABANDA,"10,000 Metres",2021,0 days 00:30:56.160000
51,Luis Miguel MASABANDA,"10,000 Metres",2022,0 days 00:29:52.020000
52,Luis Miguel MASABANDA,"10,000 Metres",2024,0 days 00:30:41.990000
53,Luis Miguel MASABANDA,Half Marathon,2023,0 days 01:02:37
54,Luis Miguel MASABANDA,Marathon,2023,0 days 02:13:33
55,Luis Miguel MASABANDA,Marathon,2024,0 days 02:13:57
56,Dennis Kibet KITIYO,1500 Metres,2021,0 days 00:03:54.070000
57,Dennis Kibet KITIYO,10 Kilometres Road,2022,0 days 00:27:35
58,Dennis Kibet KITIYO,10 Kilometres Road,2024,0 days 00:27:01
59,Dennis Kibet KITIYO,Half Marathon,2022,0 days 01:01:06
60,Dennis Kibet KITIYO,Half Marathon,2023,0 days 01:01:08
61,Dennis Kibet KITIYO,Half Marathon,2024,0 days 01:00:58
62,Maël GOUYETTE,1500 Metres,2017,0 days 00:03:52.650000
63,Maël GOUYETTE,1500 Metres,2018,0 days 00:03:46.980000
64,Maël GOUYETTE,1500 Metres,2019,0 days 00:03:43.760000
65,Maël GOUYETTE,1500 Metres,2020,0 days 00:03:41.330000
66,Maël GOUYETTE,1500 Metres,2021,0 days 00:03:41.240000
67,Maël GOUYETTE,1500 Metres,2022,0 days 00:03:40.490000
68,Maël GOUYETTE,1500 Metres,2023,0 days 00:03:35.940000
69,Maël GOUYETTE,1500 Metres,2024,0 days 00:03:36.220000
70,Maël GOUYETTE,5000 Metres,2018,0 days 00:14:50.300000
71,Maël GOUYETTE,5000 Metres,2022,0 days 00:14:03.850000
72,Maël GOUYETTE,5000 Metres,2023,0 days 00:13:36.240000
73,Maël GOUYETTE,"10,000 Metres",2021,0 days 00:30:13.700000
74,Maël GOUYETTE,10 Kilometres Road,2021,0 days 00:30:18
75,Maël GOUYETTE,10 Kilometres Road,2022,0 days 00:29:34
76,Maël GOUYETTE,10 Kilometres Road,2023,0 days 00:29:29
77,Evan JENKINS,1500 Metres,2022,0 days 00:03:52.220000
78,Evan JENKINS,1500 Metres,2024,0 days 00:03:47.180000
79,Evan JENKINS,5000 Metres,2023,0 days 00:13:54.650000
80,Evan JENKINS,5000 Metres,2024,0 days 00:13:38.010000
81,Evan JENKINS,"10,000 Metres",2023,0 days 00:29:29.640000
82,Evan JENKINS,"10,000 Metres",2024,0 days 00:28:04.580000
83,Daniele MEUCCI,1500 Metres,2005,0 days 00:03:48.790000
84,Daniele MEUCCI,1500 Metres,2006,0 days 00:03:47.320000
85,Daniele MEUCCI,1500 Metres,2007,0 days 00:03:47.490000
86,Daniele MEUCCI,1500 Metres,2008,0 days 00:03:49.780000
87,Daniele MEUCCI,5000 Metres,2005,0 days 00:14:21.260000
88,Daniele MEUCCI,5000 Metres,2006,0 days 00:13:53.400000
89,Daniele MEUCCI,5000 Metres,2007,0 days 00:13:50.270000
90,Daniele MEUCCI,5000 Metres,2008,0 days 00:13:45.400000
91,Daniele MEUCCI,5000 Metres,2009,0 days 00:13:26.090000
92,Daniele MEUCCI,5000 Metres,2010,0 days 00:13:24.380000
93,Daniele MEUCCI,5000 Metres,2011,0 days 00:13:24.940000
94,Daniele MEUCCI,5000 Metres,2012,0 days 00:13:19
95,Daniele MEUCCI,5000 Metres,2013,0 days 00:13:45.120000
96,Daniele MEUCCI,5000 Metres,2014,0 days 00:13:36.830000
97,Daniele MEUCCI,5000 Metres,2017,0 days 00:13:38.940000
98,Daniele MEUCCI,"10,000 Metres",2005,0 days 00:29:44.050000
99,Daniele MEUCCI,"10,000 Metres",2006,0 days 00:28:44.790000
100,Daniele MEUCCI,"10,000 Metres",2007,0 days 00:28:56.700000
101,Daniele MEUCCI,"10,000 Metres",2008,0 days 00:28:08.040000
102,Daniele MEUCCI,"10,000 Metres",2009,0 days 00:28:50.100000
103,Daniele MEUCCI,"10,000 Metres",2010,0 days 00:28:18.560000
104,Daniele MEUCCI,"10,000 Metres",2011,0 days 00:27:44.500000
105,Daniele MEUCCI,"10,000 Metres",2012,0 days 00:27:32.860000
106,Daniele MEUCCI,"10,000 Metres",2013,0 days 00:28:06.740000
107,Daniele MEUCCI,"10,000 Metres",2014,0 days 00:27:36.530000
108,Daniele MEUCCI,"10,000 Metres",2016,0 days 00:28:24.710000
109,Daniele MEUCCI,"10,000 Metres",2017,0 days 00:28:33.720000
110,Daniele MEUCCI,"10,000 Metres",2018,0 days 00:28:38.940000
111,Daniele MEUCCI,"10,000 Metres",2019,0 days 00:28:38.350000
112,Daniele MEUCCI,10 Kilometres Road,2005,0 days 00:29:31
113,Daniele MEUCCI,10 Kilometres Road,2006,0 days 00:30:36
114,Daniele MEUCCI,10 Kilometres Road,2008,0 days 00:29:22
115,Daniele MEUCCI,10 Kilometres Road,2009,0 days 00:29:03
116,Daniele MEUCCI,10 Kilometres Road,2010,0 days 00:30:14
117,Daniele MEUCCI,10 Kilometres Road,2011,0 days 00:29:05
118,Daniele MEUCCI,10 Kilometres Road,2012,0 days 00:28:28
119,Daniele MEUCCI,10 Kilometres Road,2013,0 days 00:30:11
120,Daniele MEUCCI,10 Kilometres Road,2014,0 days 00:28:19
121,Daniele MEUCCI,10 Kilometres Road,2015,0 days 00:28:48
122,Daniele MEUCCI,10 Kilometres Road,2017,0 days 00:29:42
123,Daniele MEUCCI,10 Kilometres Road,2018,0 days 00:29:05
124,Daniele MEUCCI,10 Kilometres Road,2019,0 days 00:28:19
125,Daniele MEUCCI,10 Kilometres Road,2020,0 days 00:28:08
126,Daniele MEUCCI,10 Kilometres Road,2021,0 days 00:28:46
127,Daniele MEUCCI,10 Kilometres Road,2022,0 days 00:29:02
128,Daniele MEUCCI,10 Kilometres Road,2023,0 days 00:29:21
129,Daniele MEUCCI,Half Marathon,2005,0 days 01:04:31
130,Daniele MEUCCI,Half Marathon,2006,0 days 01:06:29
131,Daniele MEUCCI,Half Marathon,2008,0 days 01:03:20
132,Daniele MEUCCI,Half Marathon,2009,0 days 01:02:43
133,Daniele MEUCCI,Half Marathon,2011,0 days 01:02:30
134,Daniele MEUCCI,Half Marathon,2012,0 days 01:05:11
135,Daniele MEUCCI,Half Marathon,2013,0 days 01:01:06
136,Daniele MEUCCI,Half Marathon,2014,0 days 01:01:57
137,Daniele MEUCCI,Half Marathon,2015,0 days 01:03:40
138,Daniele MEUCCI,Half Marathon,2016,0 days 01:02:38
139,Daniele MEUCCI,Half Marathon,2017,0 days 01:02:17
140,Daniele MEUCCI,Half Marathon,2018,0 days 01:04:37
141,Daniele MEUCCI,Half Marathon,2019,0 days 01:02:49
142,Daniele MEUCCI,Half Marathon,2021,0 days 01:02:40
143,Daniele MEUCCI,Half Marathon,2023,0 days 01:03:24
144,Daniele MEUCCI,Marathon,2010,0 days 02:13:49
145,Daniele MEUCCI,Marathon,2013,0 days 02:12:03
146,Daniele MEUCCI,Marathon,2014,0 days 02:11:08
147,Daniele MEUCCI,Marathon,2015,0 days 02:11:10
148,Daniele MEUCCI,Marathon,2017,0 days 02:10:56
149,Daniele MEUCCI,Marathon,2018,0 days 02:10:45
150,Daniele MEUCCI,Marathon,2019,0 days 02:10:52
151,Daniele MEUCCI,Marathon,2021,0 days 02:10:03
152,Daniele MEUCCI,Marathon,2022,0 days 02:09:25
153,Daniele MEUCCI,Marathon,2023,0 days 02:11:06
154,Daniele MEUCCI,Marathon,2024,0 days 02:07:49
155,Reed FISCHER,1500 Metres,2003,0 days 00:03:50.850000
156,Reed FISCHER,1500 Metres,2005,0 days 00:03:50.730000
157,Reed FISCHER,1500 Metres,2017,0 days 00:03:52.460000
158,Reed FISCHER,5000 Metres,2006,0 days 00:14:36.030000
159,Reed FISCHER,5000 Metres,2014,0 days 00:14:57.130000
160,Reed FISCHER,5000 Metres,2015,0 days 00:14:24.240000
161,Reed FISCHER,5000 Metres,2016,0 days 00:14:00.280000
162,Reed FISCHER,5000 Metres,2017,0 days 00:13:48.320000
163,Reed FISCHER,5000 Metres,2018,0 days 00:13:45.880000
164,Reed FISCHER,5000 Metres,2019,0 days 00:13:43.460000
165,Reed FISCHER,5000 Metres,2020,0 days 00:13:43.670000
166,Reed FISCHER,5000 Metres,2021,0 days 00:13:50.670000
167,Reed FISCHER,"10,000 Metres",2014,0 days 00:30:27.660000
168,Reed FISCHER,"10,000 Metres",2015,0 days 00:29:59.090000
169,Reed FISCHER,"10,000 Metres",2016,0 days 00:29:09.860000
170,Reed FISCHER,"10,000 Metres",2017,0 days 00:28:47.860000
171,Reed FISCHER,"10,000 Metres",2018,0 days 00:28:38.620000
172,Reed FISCHER,"10,000 Metres",2019,0 days 00:28:23.300000
173,Reed FISCHER,"10,000 Metres",2020,0 days 00:28:12.530000
174,Reed FISCHER,"10,000 Metres",2021,0 days 00:28:41.560000
175,Reed FISCHER,10 Kilometres Road,2019,0 days 00:30:20
176,Reed FISCHER,10 Kilometres Road,2023,0 days 00:29:15
177,Reed FISCHER,10 Kilometres Road,2024,0 days 00:29:20
178,Reed FISCHER,Half Marathon,2019,0 days 01:02:06
179,Reed FISCHER,Half Marathon,2020,0 days 01:01:37
180,Reed FISCHER,Half Marathon,2022,0 days 01:02:06
181,Reed FISCHER,Half Marathon,2023,0 days 01:01:52
182,Reed FISCHER,Half Marathon,2024,0 days 01:03:06
183,Reed FISCHER,Marathon,2020,0 days 02:24:48
184,Reed FISCHER,Marathon,2021,0 days 02:14:41
185,Reed FISCHER,Marathon,2022,0 days 02:15:23
186,Reed FISCHER,Marathon,2024,0 days 02:11:34
187,Frank LARA,1500 Metres,2018,0 days 00:03:56.710000
188,Frank LARA,5000 Metres,2015,0 days 00:14:37.870000
189,Frank LARA,5000 Metres,2016,0 days 00:15:00.770000
190,Frank LARA,5000 Metres,2017,0 days 00:14:05.150000
191,Frank LARA,5000 Metres,2018,0 days 00:13:56.170000
192,Frank LARA,5000 Metres,2019,0 days 00:14:01.360000
193,Frank LARA,5000 Metres,2020,0 days 00:14:00.750000
194,Frank LARA,5000 Metres,2021,0 days 00:13:27.200000
195,Frank LARA,5000 Metres,2022,0 days 00:13:46.280000
196,Frank LARA,5000 Metres,2023,0 days 00:13:36.090000
197,Frank LARA,"10,000 Metres",2017,0 days 00:29:32.540000
198,Frank LARA,"10,000 Metres",2018,0 days 00:29:33.950000
199,Frank LARA,"10,000 Metres",2019,0 days 00:28:47.890000
200,Frank LARA,"10,000 Metres",2020,0 days 00:27:44.650000
201,Frank LARA,"10,000 Metres",2021,0 days 00:27:43.130000
202,Frank LARA,"10,000 Metres",2022,0 days 00:27:57.900000
203,Frank LARA,"10,000 Metres",2023,0 days 00:28:00.750000
204,Frank LARA,10 Kilometres Road,2019,0 days 00:30:40
205,Frank LARA,Half Marathon,2019,0 days 01:04:23
206,Frank LARA,Half Marathon,2020,0 days 01:01:50
207,Frank LARA,Half Marathon,2021,0 days 01:01:00
208,Frank LARA,Half Marathon,2022,0 days 01:03:27
209,Frank LARA,Half Marathon,2023,0 days 01:02:00
210,Frank LARA,Half Marathon,2024,0 days 01:03:46
211,Frank LARA,Marathon,2022,0 days 02:11:32
212,Frank LARA,Marathon,2023,0 days 02:12:57
213,Frank LARA,Marathon,2024,0 days 02:14:55
214,Diego ESTRADA,1500 Metres,2011,0 days 00:03:41.800000
215,Diego ESTRADA,1500 Metres,2012,0 days 00:03:46.290000
216,Diego ESTRADA,1500 Metres,2013,0 days 00:03:41.900000
217,Diego ESTRADA,1500 Metres,2014,0 days 00:03:52.360000
218,Diego ESTRADA,1500 Metres,2015,0 days 00:03:48.960000
219,Diego ESTRADA,1500 Metres,2016,0 days 00:03:42.680000
220,Diego ESTRADA,1500 Metres,2018,0 days 00:03:45.860000
221,Diego ESTRADA,1500 Metres,2021,0 days 00:03:49.190000
222,Diego ESTRADA,5000 Metres,2009,0 days 00:13:47.370000
223,Diego ESTRADA,5000 Metres,2010,0 days 00:13:49.350000
224,Diego ESTRADA,5000 Metres,2011,0 days 00:13:26.940000
225,Diego ESTRADA,5000 Metres,2012,0 days 00:13:38.450000
226,Diego ESTRADA,5000 Metres,2013,0 days 00:13:15.330000
227,Diego ESTRADA,5000 Metres,2014,0 days 00:13:41.450000
228,Diego ESTRADA,5000 Metres,2015,0 days 00:13:17.300000
229,Diego ESTRADA,5000 Metres,2016,0 days 00:13:48.710000
230,Diego ESTRADA,5000 Metres,2017,0 days 00:13:32.150000
231,Diego ESTRADA,5000 Metres,2018,0 days 00:13:33.180000
232,Diego ESTRADA,5000 Metres,2019,0 days 00:13:37.560000
233,Diego ESTRADA,5000 Metres,2021,0 days 00:13:41.020000
234,Diego ESTRADA,"10,000 Metres",2009,0 days 00:28:54.600000
235,Diego ESTRADA,"10,000 Metres",2010,0 days 00:28:40.190000
236,Diego ESTRADA,"10,000 Metres",2012,0 days 00:27:32.900000
237,Diego ESTRADA,"10,000 Metres",2013,0 days 00:28:52.730000
238,Diego ESTRADA,"10,000 Metres",2015,0 days 00:27:30.530000
239,Diego ESTRADA,"10,000 Metres",2017,0 days 00:27:48.570000
240,Diego ESTRADA,"10,000 Metres",2019,0 days 00:27:57.990000
241,Diego ESTRADA,"10,000 Metres",2021,0 days 00:28:10.780000
242,Diego ESTRADA,10 Kilometres Road,2016,0 days 00:29:41
243,Diego ESTRADA,10 Kilometres Road,2017,0 days 00:29:59
244,Diego ESTRADA,10 Kilometres Road,2018,0 days 00:30:17
245,Diego ESTRADA,10 Kilometres Road,2022,0 days 00:28:40
246,Diego ESTRADA,10 Kilometres Road,2023,0 days 00:28:19
247,Diego ESTRADA,Half Marathon,2015,0 days 01:00:51
248,Diego ESTRADA,Half Marathon,2016,0 days 01:02:15
249,Diego ESTRADA,Half Marathon,2017,0 days 01:01:54
250,Diego ESTRADA,Half Marathon,2018,0 days 01:01:46
251,Diego ESTRADA,Half Marathon,2020,0 days 01:02:59
252,Diego ESTRADA,Half Marathon,2023,0 days 01:02:11
253,Diego ESTRADA,Half Marathon,2024,0 days 01:00:49
254,Diego ESTRADA,Marathon,2016,0 days 02:13:56
255,Diego ESTRADA,Marathon,2017,0 days 02:15:19
256,Diego ESTRADA,Marathon,2019,0 days 02:11:54
257,Yevgeniy KUNTS,1500 Metres,2012,0 days 00:03:54.710000
258,Yevgeniy KUNTS,1500 Metres,2013,0 days 00:03:53.840000
259,Yevgeniy KUNTS,1500 Metres,2014,0 days 00:03:48.670000
260,Yevgeniy KUNTS,1500 Metres,2016,0 days 00:03:44.160000
261,Yevgeniy KUNTS,1500 Metres,2017,0 days 00:03:40.100000
262,Yevgeniy KUNTS,1500 Metres,2018,0 days 00:03:40.070000
263,Yevgeniy KUNTS,1500 Metres,2019,0 days 00:03:40.260000
264,Yevgeniy KUNTS,1500 Metres,2020,0 days 00:03:45.010000
265,Yevgeniy KUNTS,1500 Metres,2021,0 days 00:03:40.510000
266,Yevgeniy KUNTS,1500 Metres,2022,0 days 00:03:40.630000
267,Yevgeniy KUNTS,1500 Metres,2023,0 days 00:03:42.740000
268,Yevgeniy KUNTS,1500 Metres,2024,0 days 00:03:44.390000
269,Yevgeniy KUNTS,5000 Metres,2013,0 days 00:13:59.760000
270,Yevgeniy KUNTS,5000 Metres,2014,0 days 00:13:55.120000
271,Yevgeniy KUNTS,5000 Metres,2015,0 days 00:13:40.430000
272,Yevgeniy KUNTS,5000 Metres,2016,0 days 00:13:49.650000
273,Yevgeniy KUNTS,5000 Metres,2017,0 days 00:13:38.500000
274,Yevgeniy KUNTS,5000 Metres,2018,0 days 00:14:02.350000
275,Yevgeniy KUNTS,5000 Metres,2019,0 days 00:13:50.470000
276,Yevgeniy KUNTS,5000 Metres,2020,0 days 00:14:16.140000
277,Yevgeniy KUNTS,5000 Metres,2021,0 days 00:13:33.940000
278,Yevgeniy KUNTS,5000 Metres,2022,0 days 00:13:42.490000
279,Yevgeniy KUNTS,5000 Metres,2023,0 days 00:13:45.660000
280,Yevgeniy KUNTS,"10,000 Metres",2012,0 days 00:31:53.180000
281,Yevgeniy KUNTS,"10,000 Metres",2013,0 days 00:29:46.630000
282,Yevgeniy KUNTS,Marathon,2022,0 days 02:24:59
283,Carson SMITH,1500 Metres,2022,0 days 00:03:56.960000
284,Carson SMITH,1500 Metres,2023,0 days 00:03:45.250000
285,Carson SMITH,1500 Metres,2024,0 days 00:03:41.480000
286,Carson SMITH,5000 Metres,2022,0 days 00:14:38.540000
287,Carson SMITH,5000 Metres,2023,0 days 00:14:57.440000
288,Kaisei SUGIYAMA,1500 Metres,2022,0 days 00:03:51.660000
289,Kaisei SUGIYAMA,1500 Metres,2023,0 days 00:03:45.730000
290,Kaisei SUGIYAMA,5000 Metres,2018,0 days 00:14:30.140000
291,Kaisei SUGIYAMA,5000 Metres,2020,0 days 00:14:54.630000
292,Kaisei SUGIYAMA,5000 Metres,2021,0 days 00:13:55.800000
293,Kaisei SUGIYAMA,5000 Metres,2022,0 days 00:13:49.320000
294,Kaisei SUGIYAMA,5000 Metres,2023,0 days 00:13:41.230000
295,Kaisei SUGIYAMA,5000 Metres,2024,0 days 00:13:53.200000
296,Kaisei SUGIYAMA,"10,000 Metres",2022,0 days 00:28:22.460000
297,Kaisei SUGIYAMA,"10,000 Metres",2023,0 days 00:28:36.100000
298,Kaisei SUGIYAMA,"10,000 Metres",2024,0 days 00:28:30.110000
299,Kaisei SUGIYAMA,Half Marathon,2019,0 days 01:07:42
300,Kaisei SUGIYAMA,Half Marathon,2020,0 days 01:03:02
301,Kaisei SUGIYAMA,Half Marathon,2021,0 days 01:03:38
302,Kaisei SUGIYAMA,Half Marathon,2023,0 days 01:03:55
303,Kaisei SUGIYAMA,Half Marathon,2024,0 days 01:01:48
304,Ossama MESLEK,1500 Metres,2015,0 days 00:03:57.270000
305,Ossama MESLEK,1500 Metres,2016,0 days 00:03:48.500000
306,Ossama MESLEK,1500 Metres,2017,0 days 00:03:42.190000
307,Ossama MESLEK,1500 Metres,2018,0 days 00:03:39.310000
308,Ossama MESLEK,1500 Metres,2019,0 days 00:03:39.800000
309,Ossama MESLEK,1500 Metres,2021,0 days 00:03:40.200000
310,Ossama MESLEK,1500 Metres,2022,0 days 00:03:36.040000
311,Ossama MESLEK,1500 Metres,2023,0 days 00:03:33.920000
312,Ossama MESLEK,1500 Metres,2024,0 days 00:03:35.630000
313,Ossama MESLEK,5000 Metres,2022,0 days 00:13:54.570000
314,Daiki HATTORI,5000 Metres,2019,0 days 00:14:29.180000
315,Daiki HATTORI,5000 Metres,2020,0 days 00:14:09.670000
316,Daiki HATTORI,5000 Metres,2021,0 days 00:13:45.430000
317,Daiki HATTORI,5000 Metres,2022,0 days 00:13:32.980000
318,Daiki HATTORI,5000 Metres,2023,0 days 00:13:45.370000
319,Daiki HATTORI,5000 Metres,2024,0 days 00:13:42.070000
320,Daiki HATTORI,"10,000 Metres",2021,0 days 00:28:38.460000
321,Daiki HATTORI,"10,000 Metres",2022,0 days 00:28:02.220000
322,Daiki HATTORI,"10,000 Metres",2023,0 days 00:28:27.120000
323,Daiki HATTORI,Half Marathon,2022,0 days 01:01:12
324,Daiki HATTORI,Half Marathon,2023,0 days 01:01:42
325,Daiki HATTORI,Half Marathon,2024,0 days 01:00:49
326,Victor KIPLANGAT,1500 Metres,2016,0 days 00:04:02.950000
327,Victor KIPLANGAT,1500 Metres,2017,0 days 00:04:04.430000
328,Victor KIPLANGAT,5000 Metres,2016,0 days 00:14:10.550000
329,Victor KIPLANGAT,5000 Metres,2017,0 days 00:14:01.580000
330,Victor KIPLANGAT,5000 Metres,2018,0 days 00:14:13.400000
331,Victor KIPLANGAT,"10,000 Metres",2016,0 days 00:28:53.070000
332,Victor KIPLANGAT,"10,000 Metres",2017,0 days 00:28:50.120000
333,Victor KIPLANGAT,"10,000 Metres",2018,0 days 00:28:42.770000
334,Victor KIPLANGAT,"10,000 Metres",2019,0 days 00:28:48.100000
335,Victor KIPLANGAT,"10,000 Metres",2020,0 days 00:28:16.400000
336,Victor KIPLANGAT,10 Kilometres Road,2017,0 days 00:29:22
337,Victor KIPLANGAT,10 Kilometres Road,2018,0 days 00:29:57
338,Victor KIPLANGAT,10 Kilometres Road,2019,0 days 00:28:37
339,Victor KIPLANGAT,Half Marathon,2019,0 days 01:00:16
340,Victor KIPLANGAT,Half Marathon,2020,0 days 00:59:26
341,Victor KIPLANGAT,Half Marathon,2022,0 days 01:00:11
342,Victor KIPLANGAT,Marathon,2021,0 days 02:10:18
343,Victor KIPLANGAT,Marathon,2022,0 days 02:05:09
344,Victor KIPLANGAT,Marathon,2023,0 days 02:06:03
345,Victor KIPLANGAT,Marathon,2024,0 days 02:07:44
346,Josphat Kipkemboi KEMEI,5000 Metres,2021,0 days 00:13:49.570000
347,Josphat Kipkemboi KEMEI,5000 Metres,2022,0 days 00:13:53.970000
348,Josphat Kipkemboi KEMEI,"10,000 Metres",2022,0 days 00:29:34.750000
349,Josphat Kipkemboi KEMEI,10 Kilometres Road,2016,0 days 00:29:06
350,Josphat Kipkemboi KEMEI,Half Marathon,2022,0 days 00:59:32
351,Josphat Kipkemboi KEMEI,Half Marathon,2023,0 days 01:00:41
352,Josphat Kipkemboi KEMEI,Half Marathon,2024,0 days 01:01:31
353,Dario IVANOVSKI,1500 Metres,2016,0 days 00:03:55.920000
354,Dario IVANOVSKI,1500 Metres,2017,0 days 00:03:57.990000
355,Dario IVANOVSKI,1500 Metres,2018,0 days 00:03:47.130000
356,Dario IVANOVSKI,1500 Metres,2019,0 days 00:03:50.900000
357,Dario IVANOVSKI,1500 Metres,2020,0 days 00:03:52.250000
358,Dario IVANOVSKI,1500 Metres,2021,0 days 00:03:44.980000
359,Dario IVANOVSKI,1500 Metres,2023,0 days 00:03:52.610000
360,Dario IVANOVSKI,5000 Metres,2021,0 days 00:14:02.320000
361,Dario IVANOVSKI,5000 Metres,2022,0 days 00:13:54.580000
362,Dario IVANOVSKI,5000 Metres,2023,0 days 00:14:27.660000
363,Dario IVANOVSKI,"10,000 Metres",2020,0 days 00:32:44.900000
364,Dario IVANOVSKI,"10,000 Metres",2021,0 days 00:30:04.660000
365,Dario IVANOVSKI,10 Kilometres Road,2021,0 days 00:29:58
366,Dario IVANOVSKI,10 Kilometres Road,2023,0 days 00:30:58
367,Dario IVANOVSKI,Half Marathon,2017,0 days 01:10:01
368,Dario IVANOVSKI,Half Marathon,2018,0 days 01:08:03
369,Dario IVANOVSKI,Half Marathon,2021,0 days 01:06:09
370,Dario IVANOVSKI,Half Marathon,2022,0 days 01:08:30
371,Dario IVANOVSKI,Half Marathon,2023,0 days 01:04:45
372,Dario IVANOVSKI,Half Marathon,2024,0 days 01:06:32
373,Dario IVANOVSKI,Marathon,2020,0 days 02:31:16
374,Dario IVANOVSKI,Marathon,2021,0 days 02:21:27
375,Dario IVANOVSKI,Marathon,2022,0 days 02:18:12
376,Dario IVANOVSKI,Marathon,2023,0 days 02:11:53
377,Dario IVANOVSKI,Marathon,2024,0 days 02:08:26
378,Anthony CAMERIERI,1500 Metres,2019,0 days 00:03:54.380000
379,Anthony CAMERIERI,1500 Metres,2021,0 days 00:03:43.150000
380,Anthony CAMERIERI,1500 Metres,2022,0 days 00:03:41.780000
381,Anthony CAMERIERI,1500 Metres,2023,0 days 00:03:38.340000
382,Anthony CAMERIERI,1500 Metres,2024,0 days 00:03:39.410000
383,Anthony CAMERIERI,5000 Metres,2021,0 days 00:14:12.120000
384,Anthony CAMERIERI,5000 Metres,2022,0 days 00:13:48.580000
385,Anthony CAMERIERI,5000 Metres,2023,0 days 00:13:26.580000
386,Anthony CAMERIERI,5000 Metres,2024,0 days 00:13:27.240000
387,Jesse FOKKENROOD,1500 Metres,2018,0 days 00:04:04.470000
388,Jesse FOKKENROOD,1500 Metres,2019,0 days 00:03:55.320000
389,Jesse FOKKENROOD,1500 Metres,2020,0 days 00:03:48.440000
390,Jesse FOKKENROOD,1500 Metres,2021,0 days 00:03:45.950000
391,Jesse FOKKENROOD,1500 Metres,2022,0 days 00:03:42.580000
